Language,Language-code,TotalRetweetsInThatLang,IDOfTweet,RetweetCount,Text
(Korean,ko,290862,780312358165975040,2314,RT @su_cre_: 연애하다 헤어지면 그게 가장 힘들지 내 일상을 공유할 사람이 없다는 거. 점심은 뭘 먹었고 어제는 누구랑 놀았으며 우리집 고양이가 털이 많이 빠진다는 걸 말 할 사람이 없는 게. 그런 사소한 얘기도 재밌게 들어줬던 사람이 한순…)
(Korean,ko,290862,779657570642370560,2301,RT @mola_ATM: 여자좋다는캐치고 진짜 여자랑 잘되는 캐 얼마없어 내 머릿속에선 그래...카나카오입니다...과제하다 발작와서 충동적으로 만든거 https://t.co/wj2mnhrP21)
(Korean,ko,290862,704873248291426305,2257,RT @mirkael: 저기 님들아 ▷ 세라복 입은 자캐 안경쓴 자캐 유혈 자캐 전투복입은 자캐 마법소년소녀물 자캐 연령반전 자캐 TS 자캐 세계관 반전 자캐 우는 자캐 꽃을 한가득 안은 자캐 병아리랑 같이있는 자캐 동물귀 단 자캐 2P 자캐 코스프…)
(Korean,ko,290862,780071136616849409,2226,RT @bts_jmtaetae: 엥!?!?!??!?! 잠시만 나 지금 조금 소름돋을려해 https://t.co/6EAAgkUSuH)
(Korean,ko,290862,780049997089779712,2202,RT @udaqueness: https://t.co/Y7czlqRzHc 낮잠을 자려고 누웠는데 블라인드에 구멍이 있었는지 방 벽에 카메라 옵스큐라가 나타났다고 https://t.co/PcHjCEMsia)
(Korean,ko,290862,780238560687378437,2187,RT @QASTY_: 정체성을 잃어버린 컵라면들  콕콕콕콕 시리즈 - 하이 테크놀러지 뚜껑으로 변경된 이후엔 젓가락으로 뚫을 필요가 없음.  미니 왕뚜껑 - 존나 앞뒤가 안맞는 물건.)
(Korean,ko,290862,780264698239332353,2181,RT @hee_hq: 하이큐 홈페이지에 굿즈 업데이트 되었는데.. 츳키의 안경이 나온다는 소식입니다.. 갱신리스트는 이쪽  https://t.co/NEN9UVLL4G https://t.co/v3fptVSnBb)
(Korean,ko,290862,779997445446959105,2150,RT @yMRhF5S5FkieWAh: (필독)이정렬 전판사님이 왜 317일이나 지난 시점에서 백남기 어르신을 부검을 하면 안 되는지에 대한 이유를 쓰셨다 https://t.co/1SkQMcp8iT)
(Korean,ko,290862,780055411344809984,2144,RT @o_taku_migu: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ꿈라프 보다가 웬 익숙한 이름들이 보이나 했더닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ엑1쏘랑 샤ㅇ1ㄴ1ㅋㅋㅋㅋㅋㅋㅋㅋㅋ에델로즈에 에셈 아이돌들 언제 입학햇냐wwwwwwwwㅋㅋㅋㅋㅋㅋㅋㅋㅋ https://t.co/WQN…)
(Korean,ko,290862,779748553463767040,2143,RT @Necoshy: 졸작때문에 진이 다 빠지네요ㅠㅠ 작업내내 질리도록 사용했던 브러쉬를 업로드했습니다. 여러분의 나뭇잎 그리기를 도와드립니다.자세한건 링크를 참고해주세요. ▶ https://t.co/CeU2PudR6u https://t.co/sQ…)
(Korean,ko,290862,780000254997389312,2130,RT @MinS_0332: 아니 한조가 왜 내리는데ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ https:/…)
(Korean,ko,290862,779933960742641665,2113,RT @yeolmaefarmcom: 다시 한 번 안내드리지만 농장 공지 내 게시 된 것중 '고발장파일' 은 유출 및 재 게시 금지입니다.  또한 사과 메일 보내지 마세요. 본인들이 사과 할 대상은 저희가 아닙니다.)
(Korean,ko,290862,780098718783582209,2085,RT @sy_Kcalli: 대학와서 하는것  놀기(X) 학과공부(X) 연애(X)  종강기다리기(O) 집에가고싶어하기(O) 공강날만들기(O) 자퇴외치기(O) 그냥덕질최고(OOOOO) 그냥집이최고(OOOOO))
(Korean,ko,290862,780317625339359232,2084,RT @KalisttyP: 러시아의 기상보소;;   러시아에서는 총으로 연주를 합니다! https://t.co/RTtedWzEEK)
(Korean,ko,290862,780305195037106176,2046,RT @Streaming_Exo: 가온측에서 필터링을 전보다 훨씬 강화했나 봅니다 ㅜㅜ 스트리밍 순위 인데 50위안에 엑소가 없네요 하루몇번이라도 많은분들이 들어주시는게 중요하고 누적이 중요합니다 귀찮다고 생각하지마시고 스밍권이있으신분들은 잠깐이라도…)
(Korean,ko,290862,780313120237428736,2013,RT @ifyoucantbemine: #자캐가_끊임없이_재생하여_산_채로_조각나도_죽지_못하는_몸을_가진다면 https://t.co/0slU0bLgpv)
(Korean,ko,290862,706048351620345856,2000,RT @0024choi: 흰둥이가 버려진 강아지였다는게 짱구가 그걸 데려와 키웠다는게 그 스토리가 참 좋은 것 같다😂😂 https://t.co/fEAZAoP4KM)
